,Urls,Thumbs,Title,Views,Time
0,https://youtube.com/watch?v=_1aFWlvi10M,https://i.ytimg.com/vi/_1aFWlvi10M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxMpnkL-HpVosyCC0lni213avpwQ,Top 5 Cool Ringtones in 2021 | Best of All Time | Download Now,"15,724",2 years ago
1,https://youtube.com/watch?v=oLvPaNpNFbA,https://i.ytimg.com/vi/oLvPaNpNFbA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnfomfegSKaGTPew4Lz2zyodeSKQ,How to Use Whatsapp Payments in India | How to send Whatsapp Payments | How to Set Up?,33,2 years ago
2,https://youtube.com/watch?v=0uxfWJd03U8,https://i.ytimg.com/vi/0uxfWJd03U8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUKM0_2-hL69-jl_vDWLJbjRHK-A,Top 3 Premium Smartwatches Under 20000  | Huawei GT2 Classic | Samsung Galaxy Watch | Oppo Watch,"23,096",2 years ago
3,https://youtube.com/watch?v=a7_beD1zvRQ,https://i.ytimg.com/vi/a7_beD1zvRQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVPjbeiGsVQCYxa9060hYsvXeeyg,Realme Narzo 20 vs Realme Narzo 10 | Narzo Review | Narzo Features Unboxing,255,2 years ago
4,https://youtube.com/watch?v=0LVk8VSOF2M,https://i.ytimg.com/vi/0LVk8VSOF2M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8f1CGYOpfyoRVNI-pcWOz_haZog,Best Smartwatches Under 15k in 2020 | Honor Magic Watch 2 v/s Amazfit Stratos 3 (Best In Class !),"4,976",2 years ago
5,https://youtube.com/watch?v=p49pZAkjE_8,https://i.ytimg.com/vi/p49pZAkjE_8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjwMa6tBcKCh6rftppcQLmEUMIVA,Best 5 Smart Watches Under 5k in 2020 | Noise Colorfit NAV | Huami Bip Lite S,"1,101",2 years ago
6,https://youtube.com/watch?v=eCqSvRmJ25I,https://i.ytimg.com/vi/eCqSvRmJ25I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnkYOkvra3quYfQ8HOlMZ6gieLoA,Top 5 Smart Watches Under 15k in 2020 | Fitbit Versa | Huawei Watch GT2 | Honor Magic Watch 2,"51,005",2 years ago
7,https://youtube.com/watch?v=eI55s5YtqqE,https://i.ytimg.com/vi/eI55s5YtqqE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnGTj9pFow35r-DlInFTqeaoMJng,Realme 6i Vs Redmi Note 9 | Full Review with Comparison | Realme Vs Redmi,60,2 years ago
8,https://youtube.com/watch?v=DXmZKkI6l80,https://i.ytimg.com/vi/DXmZKkI6l80/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAslhK_lj93jJT3IB7zWTZfkUsPHQ,Realme 7 Pro Price in India | Specs | Launch Date In India (Latest !),87,2 years ago
9,https://youtube.com/watch?v=o-sB-0V7he0,https://i.ytimg.com/vi/o-sB-0V7he0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBxlQXsZdsbL07nKcytvjVbfbO-3g,Top 5 Smartphones Under 15000 | Made In India Smartphones  (July 2020 !),78,2 years ago
10,https://youtube.com/watch?v=rl9j6nGajXQ,https://i.ytimg.com/vi/rl9j6nGajXQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFD4dhG7ow3FdE38udm6FdVGGgTw,Top 5 Smart Fitness Band Under 2000 | Realme Smart Band | Mi Smart Band 4 | UlnaDay,784,2 years ago
11,https://youtube.com/watch?v=jmvla8W8JD0,https://i.ytimg.com/vi/jmvla8W8JD0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDT_NMNmvU6y-B33kOyWtM08TLstA,Top 5 Laptops Under 30000 | Dell Laptop | Asus Laptop | HP Laptop | UlnaDay,264,2 years ago
12,https://youtube.com/watch?v=lARXmpwBDXQ,https://i.ytimg.com/vi/lARXmpwBDXQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBYXX_-qOB1ZboXhtaXAlnDT4o01Q,Top 5 Power Banks Of 10000mAH | Syska Power Bank | Intex Power Bank | Ambrane Power Bank,"2,543",2 years ago
13,https://youtube.com/watch?v=z4U60WPeBdI,https://i.ytimg.com/vi/z4U60WPeBdI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAwaRt4zrcDJZp0jjJZ-ismMfOsw,Top 5 Smart Watches Under 10k In 2020 | Huami T-Rex | Noise fit | Honor Watch  (Amazing !),"20,940",2 years ago
14,https://youtube.com/watch?v=oma3Wp4M7-c,https://i.ytimg.com/vi/oma3Wp4M7-c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLd3CanCaAyB65D6KmEUkYbnebAQ,Mi Notebook 14 Horizon | Full Detailed Specification in 2020 (Best Ever!),46,2 years ago
15,https://youtube.com/watch?v=_HPqLGpqJx0,https://i.ytimg.com/vi/_HPqLGpqJx0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWJk_nprIp-PzLO03-hvzBDG4FKA,Realme Narzo 10 vs Redmi Note 9 Pro | Full Review With Comparison .,"2,648",2 years ago
16,https://youtube.com/watch?v=Y3MyeEQFWAQ,https://i.ytimg.com/vi/Y3MyeEQFWAQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkli8Rd9czQ4pVtOAiy4HDdKGWVg,Top 5 True Wireless Earbuds Under 4k In 2020 | Realme Buds Air Neo | Oppo Enco N31 | UlnaDay,"3,099",2 years ago
17,https://youtube.com/watch?v=6Y5llqCibww,https://i.ytimg.com/vi/6Y5llqCibww/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBWIIx7X4PHmxSQ_4LPeTV36Q8zhg,Top 5 Smart Android TV Under 15k in 2020 | Realme TV | Android TV 32 Inch | UlnaDay,861,2 years ago
18,https://youtube.com/watch?v=HGwT3f-OpdA,https://i.ytimg.com/vi/HGwT3f-OpdA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVG-WWOChRIKR3pnOBxRHuQuG2Ug,Top 5 Smart Watches Under 5k in 2020 | Realme Watch | All In One Watches | Ulnaday,"4,868",2 years ago
19,https://youtube.com/watch?v=lYACEHAWuFk,https://i.ytimg.com/vi/lYACEHAWuFk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJRo6Qnh3m2fSHU4QrUdD8InQlRw,Top 5 Xiaomi Gadgets Under 2000| Xioami Juicer | Xiaomi keyboard | Xiaomi Water Saver.,248,2 years ago
20,https://youtube.com/watch?v=XOoW3s8AEIw,https://i.ytimg.com/vi/XOoW3s8AEIw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWOhknbK_xKgnvDjg_Sg0teWxxDA,Top 5 Tech Gadgets with Crazy Features | Gaming Table | Tiger Design Earbuds 2020,152,2 years ago
21,https://youtube.com/watch?v=SlvQxUvxSFA,https://i.ytimg.com/vi/SlvQxUvxSFA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDhYPV9U0W1Oy_Z6TsJvf8GWvLl6g,How to Increase Internet Speed || 100% Working Trick || कैसे बढ़ाये इंटरनेट की स्पीड - ulnaday,281,3 years ago
